reference,publication_year,eon,era,period,epoch,age,framework,depo_env1,depo_env2,depo_env3,paleo_lat,paleo_long,modern_lat,modern_long,numberOfSamples,NumberOfPointsPerSample,microbial,green_algae,red_algae,prob_alga,calc_alga,sponges,sponges_silica,sponges_archaeocyath,sponges_calc,pelagic_foram,foraminifera,bryozoans,graptolites,cephalopods,annelids,sclerec_corals,rugose_corals,corals,trilobite,ostracods,barnacles,brachiopods,gastropods,bivalves,molluska,echinoderm,echinoids,crinoids,radiolarians,calcispheres,unid_biota,other_metazoans,skeletal_total,alga+micro_total,animals_total,protists_total,total_animals_new,total_protists_new,total_alga_new,ooids,peloids,cement,micrite,siliciclastics,fecal_pellets,other_abiotic,Pore Space,organic_matter,Glauconite and other minerals,Vertebrate fossils,Phosphates,Glauconite,carbonate_clasts,mean_ma,Dolomite,Pyrite,Cortoids,alga_total,Anhydrite,Paleocontinents1
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Series 2,,ramp,innerRamp,peritidal,,,,37.0,-117.0,1,300.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,5.0,1.6666666666666667,93.33333333333333,,,0.0,,,,,,,,513.2,0.0,,,,,Laurentia
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Series 2,,ramp,innerRamp,peritidal,,,,37.0,-117.0,1,300.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,4.333333333333333,2.0,93.33333333333333,,,0.3333333333333333,,,,,,,,513.2,0.0,,,,,Laurentia
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Series 2,,ramp,innerRamp,peritidal,,,,37.0,-117.0,1,300.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,5.666666666666667,2.6666666666666665,91.66666666666667,,,0.0,,,,,,,,513.2,0.0,,,,,Laurentia
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,,,47.0,96.0,1,300.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,2.6666666666666665,93.66666666666667,3.6666666666666665,,0.0,,,,,,,,513.2,,,,,,Terrane
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Series 2,,ramp,innerRamp,peritidal,,,,37.0,-117.0,1,300.0,4.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,10.666666666666666,1.0,84.0,,,0.3333333333333333,,,,,,,,513.2,0.0,,,,,Laurentia
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Series 2,,ramp,innerRamp,peritidal,,,,37.0,-117.0,1,300.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,0.0,0.0,100.0,,,0.0,,,,,,,,513.2,0.0,,,,,Laurentia
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Series 2,,ramp,innerRamp,peritidal,,,,37.0,-117.0,1,300.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,8.333333333333334,1.6666666666666667,90.0,,,0.0,,,,,,,,513.2,0.0,,,,,Laurentia
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Series 2,,ramp,innerRamp,peritidal,,,,37.0,-117.0,1,300.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,0.0,11.333333333333334,88.66666666666667,,,0.0,,,,,,,,513.2,0.0,,,,,Laurentia
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,,,47.0,96.0,1,300.0,25.666666666666668,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,1.6666666666666667,69.66666666666667,1.0,,2.0,,,,,,,,513.2,,,,,,Terrane
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,,,47.0,96.0,1,300.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,0.3333333333333333,99.66666666666667,0.0,,0.0,,,,,,,,513.2,,,,,,Terrane
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,,,47.0,96.0,1,300.0,0.3333333333333333,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,4.0,95.66666666666667,0.0,,0.0,,,,,,,,513.2,,,,,,Terrane
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,,,47.0,96.0,1,300.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,3.3333333333333335,96.66666666666667,0.0,,0.0,,,,,,,,513.2,,,,,,Terrane
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Series 2,,ramp,innerRamp,peritidal,,,,37.0,-117.0,1,300.0,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,40.0,2.3333333333333335,56.666666666666664,,,1.0,,,,,,,,513.2,0.0,,,,,Laurentia
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Series 2,,ramp,innerRamp,patchReefs,,,,37.0,-118.0,1,200.0,0.0,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,4.5,93.0,2.5,,,,,,,,,,513.2,,,,,0.0,Laurentia
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,,,46.0,96.0,1,300.0,5.666666666666667,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,5.333333333333333,86.66666666666667,1.0,,1.3333333333333333,,,,,,,,513.2,,,,,,Terrane
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,,,46.0,96.0,1,300.0,1.3333333333333333,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,15.333333333333334,82.66666666666667,0.6666666666666666,,0.0,,,,,,,,513.2,,,,,,Terrane
Pruss et al,2019,Phanerozoic,Paleozoic,Cambrian,Series 2,,platform,platformMargin,reef,,,,37.0,-117.0,1,300.0,11.5,,,,,,,13.0,,,,,,,,,,,0.0,,,0.0,,,,0.0,,,,,0.0,0.0,13.0,0.0,13.0,0.0,13.0,-1.0,-1.0,,0.0,44.5,16.5,1.0,,13.5,,0.0,0.0,,,,,513.2,,,,,,Laurentia
Pruss et al,2012,Phanerozoic,Paleozoic,Cambrian,Series 2,,platform,innerPlatform,reef,,,,51.0,-56.0,1,200.0,2.5,,,,,0.0,,12.5,,,,,,,,,,,0.5,0.5,,0.0,,,,2.5,,,,,1.0,0.0,17.0,0.0,17.0,0.0,17.0,-1.0,-1.0,,,27.500000000000004,51.5,0.0,,1.5,,0.0,,,0.0,,,513.2,0.0,,,,,Laurentia
Pruss et al,2012,Phanerozoic,Paleozoic,Cambrian,Series 2,,platform,innerPlatform,interReef,,,,51.0,-56.0,1,200.0,0.0,,,,,0.0,,0.0,,,,,,,,,,,4.5,0.0,,0.0,,,,11.5,,,,,0.5,0.5,17.0,0.0,16.5,0.0,16.5,-1.0,-1.0,,,53.5,14.499999999999998,0.0,,0.5,,1.5,,,0.0,,,513.2,13.0,,,,,Laurentia
Pruss et al,2019,Phanerozoic,Paleozoic,Cambrian,Series 2,,platform,platformMargin,interReef,,,,37.0,-117.0,1,300.0,0.0,,,,,,,0.0,,,,,,,,,,,13.5,,,2.0,,,,0.0,,,,,1.5,0.0,17.0,0.0,17.0,0.0,17.0,-1.0,-1.0,,0.0,55.5,14.0,3.0,,6.0,,0.0,4.5,,,,,513.2,,,,,,Laurentia
