SQS_diversity,mean_ma,period
61.263999999999996,513.2,Cambrian
253.694,464.4,Ordovician
206.15,431.29999999999995,Silurian
239.60533333333333,389.04999999999995,Devonian
214.6685,328.9,Carboniferous
264.6373333333333,275.53499999999997,Permian
182.01233333333334,226.735,Triassic
213.21766666666667,173.15,Jurassic
363.3505,105.5,Cretaceous
353.3523333333333,44.515,Paleogene
557.163,12.809000000000001,Neogene
392.416,1.294,Quaternary
